Name,Type,HP,Attack,Defense,Speed,Sp. Atk
Bulbasaur,Grass,45,49,49,45,65
Ivysaur,Grass,60,62,63,60,80
Venusaur,Grass,80,82,83,80,100
VenusaurMega Venusaur,Grass,80,100,123,80,122
Charmander,Fire,39,52,43,65,60
Charmeleon,Fire,58,64,58,80,80
Charizard,Fire,78,84,78,100,109
CharizardMega Charizard X,Fire,78,130,111,100,130
CharizardMega Charizard Y,Fire,78,104,78,100,159
Squirtle,Water,44,48,65,43,50
Wartortle,Water,59,63,80,58,65
Blastoise,Water,79,83,100,78,85
BlastoiseMega Blastoise,Water,79,103,120,78,135
Caterpie,Bug,45,30,35,45,20
Metapod,Bug,50,20,55,30,25
Butterfree,Bug,60,45,50,70,90
Weedle,Bug,40,35,30,50,20
Kakuna,Bug,45,25,50,35,25
Beedrill,Bug,65,90,40,75,45
BeedrillMega Beedrill,Bug,65,150,40,145,15
Pidgey,Normal,40,45,40,56,35
Pidgeotto,Normal,63,60,55,71,50
Pidgeot,Normal,83,80,75,101,70
PidgeotMega Pidgeot,Normal,83,80,80,121,135
Rattata,Normal,30,56,35,72,25
Raticate,Normal,55,81,60,97,50
Spearow,Normal,40,60,30,70,31
Fearow,Normal,65,90,65,100,61
Ekans,Poison,35,60,44,55,40
Arbok,Poison,60,85,69,80,65
Pikachu,Electric,35,55,40,90,50
Raichu,Electric,60,90,55,110,90
Sandshrew,Ground,50,75,85,40,20
Sandslash,Ground,75,100,110,65,45
Nidoran♀,Poison,55,47,52,41,40
Nidorina,Poison,70,62,67,56,55
Nidoqueen,Poison,90,92,87,76,75
Nidoran♂,Poison,46,57,40,50,40
Nidorino,Poison,61,72,57,65,55
Nidoking,Poison,81,102,77,85,85
Clefairy,Fairy,70,45,48,35,60
Clefable,Fairy,95,70,73,60,95
Vulpix,Fire,38,41,40,65,50
Ninetales,Fire,73,76,75,100,81
Jigglypuff,Normal,115,45,20,20,45
Wigglytuff,Normal,140,70,45,45,85
Zubat,Poison,40,45,35,55,30
Golbat,Poison,75,80,70,90,65
Oddish,Grass,45,50,55,30,75
Gloom,Grass,60,65,70,40,85
Vileplume,Grass,75,80,85,50,110
Paras,Bug,35,70,55,25,45
Parasect,Bug,60,95,80,30,60
Venonat,Bug,60,55,50,45,40
Venomoth,Bug,70,65,60,90,90
Diglett,Ground,10,55,25,95,35
Dugtrio,Ground,35,80,50,120,50
Meowth,Normal,40,45,35,90,40
Persian,Normal,65,70,60,115,65
Psyduck,Water,50,52,48,55,65
Golduck,Water,80,82,78,85,95
Mankey,Fighting,40,80,35,70,35
Primeape,Fighting,65,105,60,95,60
Growlithe,Fire,55,70,45,60,70
Arcanine,Fire,90,110,80,95,100
Poliwag,Water,40,50,40,90,40
Poliwhirl,Water,65,65,65,90,50
Poliwrath,Water,90,95,95,70,70
Abra,Psychic,25,20,15,90,105
Kadabra,Psychic,40,35,30,105,120
Alakazam,Psychic,55,50,45,120,135
AlakazamMega Alakazam,Psychic,55,50,65,150,175
Machop,Fighting,70,80,50,35,35
Machoke,Fighting,80,100,70,45,50
Machamp,Fighting,90,130,80,55,65
Bellsprout,Grass,50,75,35,40,70
Weepinbell,Grass,65,90,50,55,85
Victreebel,Grass,80,105,65,70,100
Tentacool,Water,40,40,35,70,50
Tentacruel,Water,80,70,65,100,80
Geodude,Rock,40,80,100,20,30
Graveler,Rock,55,95,115,35,45
Golem,Rock,80,120,130,45,55
Ponyta,Fire,50,85,55,90,65
Rapidash,Fire,65,100,70,105,80
Slowpoke,Water,90,65,65,15,40
Slowbro,Water,95,75,110,30,100
SlowbroMega Slowbro,Water,95,75,180,30,130
Magnemite,Electric,25,35,70,45,95
Magneton,Electric,50,60,95,70,120
Farfetch'd,Normal,52,65,55,60,58
Doduo,Normal,35,85,45,75,35
Dodrio,Normal,60,110,70,100,60
Seel,Water,65,45,55,45,45
Dewgong,Water,90,70,80,70,70
Grimer,Poison,80,80,50,25,40
Muk,Poison,105,105,75,50,65
Shellder,Water,30,65,100,40,45
Cloyster,Water,50,95,180,70,85
